,proj,recoder_patch_count,recoder_bug_count,cure_patch_count,cure_bug_count,rewardrepair_patch_count,rewardrepair_bug_count,tbar_patch_count,tbar_bug_count,coconut_patch_count,coconut_bug_count,selfapr_patch_count,selfapr_bug_count,sequencer_patch_count,sequencer_bug_count,alpharepair_patch_count,alpharepair_bug_count,simfix_patch_count,simfix_bug_count,edits_patch_count,edits_bug_count
0,closure,244,8,325,10,405,10,211,9,242,10,551,10,197,10,366,10,270,8,83,7
1,codec,43,4,14,2,134,4,806,4,10,2,237,4,85,2,79,4,40,2,66,3
2,gson,22,1,12,1,34,1,10,1,23,1,36,1,24,1,54,1,11,1,2,1
3,jacksoncore,25,2,24,2,68,2,23,2,34,1,70,2,23,1,45,2,8,1,5,2
4,jsoup,71,3,86,3,205,4,81,3,44,3,101,3,77,3,94,4,3,1,0,0
5,lang,112,5,102,5,155,5,124,5,76,4,180,5,55,4,151,5,40,3,0,0
6,math,274,7,454,8,356,8,520,7,225,6,439,8,283,7,230,7,25,4,5,2
7,mockito,38,1,64,2,55,2,14,1,19,2,94,2,25,2,54,2,1,1,0,0
8,time,27,2,15,2,15,1,93,2,8,2,20,2,16,2,0,0,2,1,2,1
