,proj,cure_patch_count,cure_bug_count,selfapr_patch_count,selfapr_bug_count,sequencer_patch_count,sequencer_bug_count,recoder_patch_count,recoder_bug_count,rewardrepair_patch_count,rewardrepair_bug_count,alpharepair_patch_count,alpharepair_bug_count,coconut_patch_count,coconut_bug_count,tbar_patch_count,tbar_bug_count,simfix_patch_count,simfix_bug_count,edits_patch_count,edits_bug_count
0,jacksoncore,24,2,70,2,23,1,25,2,68,2,45,2,34,1,23,2,8,1,5,2
1,math,67,1,83,1,38,1,46,1,48,1,63,1,36,1,83,1,7,1,0,0
